Tau,Kappa,Chi
-0.9120184119968281,-1.4766012384710563,0.4117181808211855
-0.868588963806503,-1.4766012384710563,0.43210834734818554
-0.8251595156161776,-1.4766012384710563,0.4063060341689157
-0.7817300674258525,-1.4766012384710563,0.4243413978231666
-0.7383006192355273,-1.4766012384710563,0.4212733407947888
-0.694871171045202,-1.4766012384710563,0.4006460052962634
-0.6514417228548768,-1.4766012384710563,0.4026561041098796
-0.6080122746645515,-1.4766012384710563,0.39755808080507016
-0.5645828264742263,-1.4766012384710563,0.3754339000095273
-0.5211533782839011,-1.4766012384710563,0.39796655310534373
-0.47772393009357594,-1.4766012384710563,0.37197769262275293
-0.4342944819032507,-1.4766012384710563,0.3509626180688301
-0.39086503371292547,-1.4766012384710563,0.3420891051832656
-0.34743558552260023,-1.4766012384710563,0.32247932344229796
-0.304006137332275,-1.4766012384710563,0.3008178925685929
-0.2605766891419498,-1.4766012384710563,0.2834974515025469
-0.21714724095162455,-1.4766012384710563,0.2654782273499718
-0.17371779276129934,-1.4766012384710563,0.24137925351346243
-0.13028834457097413,-1.4766012384710563,0.22817964595937704
-0.0868588963806489,-1.4766012384710563,0.19263907789986215
-0.04342944819032366,-1.4766012384710563,0.15396938788353942
1.5429239464852566e-15,-1.4766012384710563,0.1461566412470236
0.04342944819032661,-1.4766012384710563,0.08579293226358481
0.08685889638065195,-1.4766012384710563,0.06948187308166288
0.13028834457097743,-1.4766012384710563,0.04075412604533102
0.17371779276130242,-1.4766012384710563,0.007218397422728375
0.21714724095162746,-1.4766012384710563,-0.02205183724560732
0.26057668914195287,-1.4766012384710563,-0.060593648568377484
0.3040061373322783,-1.4766012384710563,-0.10059672185239103
0.34743558552260334,-1.4766012384710563,-0.13428209262047425
0.39086503371292836,-1.4766012384710563,-0.15984686196110867
0.4342944819032538,-1.4766012384710563,-0.20497465216080563
0.47772393009357916,-1.4766012384710563,-0.24153242107761255
0.5211533782839042,-1.4766012384710563,-0.2582072258651392
0.5645828264742292,-1.4766012384710563,-0.29889868090289806
0.6080122746645547,-1.4766012384710563,-0.31858986016409313
0.65144172285488,-1.4766012384710563,-0.34041243045181735
0.6948711710452051,-1.4766012384710563,-0.3748470551372017
0.7383006192355301,-1.4766012384710563,-0.37866929834227725
0.7817300674258556,-1.4766012384710563,-0.3804618135201334
0.825159515616181,-1.4766012384710563,-0.40900055536181334
0.868588963806506,-1.4766012384710563,-0.4292144618157595
0.912018411996831,-1.4766012384710563,-0.4292893847862917
0.9554478601871563,-1.4766012384710563,-0.42113752941219706
-1.7371779276130073,-1.4331717902807308,0.07959984395393978
-1.693748479422682,-1.4331717902807308,0.12913920659306757
-1.6503190312323568,-1.4331717902807308,0.15321710522117235
-1.6068895830420316,-1.4331717902807308,0.1667004465759132
-1.5634601348517065,-1.4331717902807308,0.15578649527766963
-1.5200306866613813,-1.4331717902807308,0.22659050255315918
-1.4766012384710558,-1.4331717902807308,0.22350991340428011
-1.4331717902807308,-1.4331717902807308,0.2373811351844042
-1.3897423420904056,-1.4331717902807308,0.2583588190169321
-1.3463128939000804,-1.4331717902807308,0.28489003776294286
-1.3028834457097551,-1.4331717902807308,0.29623535607803925
-1.2594539975194299,-1.4331717902807308,0.31229178477237063
-1.2160245493291046,-1.4331717902807308,0.31687562755866605
-1.1725951011387794,-1.4331717902807308,0.3511052407411219
-1.1291656529484542,-1.4331717902807308,0.36504059248560433
-1.085736204758129,-1.4331717902807308,0.3647265143703295
-1.0423067565678037,-1.4331717902807308,0.37603004744139373
-0.9988773083774786,-1.4331717902807308,0.39143210746181495
-0.9554478601871533,-1.4331717902807308,0.38965955786709955
-0.9120184119968281,-1.4331717902807308,0.3946903073331048
-0.868588963806503,-1.4331717902807308,0.4120920195323195
-0.8251595156161776,-1.4331717902807308,0.40475130428278616
-0.7817300674258525,-1.4331717902807308,0.4116366548914652
-0.7383006192355273,-1.4331717902807308,0.4052471328927948
-0.694871171045202,-1.4331717902807308,0.4096470059238519
-0.6514417228548768,-1.4331717902807308,0.3842307909321649
-0.6080122746645515,-1.4331717902807308,0.40463203146868704
-0.5645828264742263,-1.4331717902807308,0.39758868846055295
-0.5211533782839011,-1.4331717902807308,0.3700046613890526
-0.47772393009357594,-1.4331717902807308,0.36063531672397936
-0.4342944819032507,-1.4331717902807308,0.35200622280391164
-0.39086503371292547,-1.4331717902807308,0.3208721431835046
-0.34743558552260023,-1.4331717902807308,0.3145019535525752
-0.304006137332275,-1.4331717902807308,0.29244213377194234
-0.2605766891419498,-1.4331717902807308,0.2673021462425987
-0.21714724095162455,-1.4331717902807308,0.2551969198048872
-0.17371779276129934,-1.4331717902807308,0.231575741474357
-0.13028834457097413,-1.4331717902807308,0.21464138715289052
-0.0868588963806489,-1.4331717902807308,0.18423191417704796
-0.04342944819032366,-1.4331717902807308,0.16145894611485317
1.5429239464852566e-15,-1.4331717902807308,0.137314420945878
0.04342944819032661,-1.4331717902807308,0.10209816660266226
0.08685889638065195,-1.4331717902807308,0.07244069182036701
0.13028834457097743,-1.4331717902807308,0.040866049486922885
0.17371779276130242,-1.4331717902807308,-0.0018500119673130692
0.21714724095162746,-1.4331717902807308,-0.027654190739236636
0.26057668914195287,-1.4331717902807308,-0.06447215436488317
0.3040061373322783,-1.4331717902807308,-0.11286039208727776
0.34743558552260334,-1.4331717902807308,-0.13865110008596984
0.39086503371292836,-1.4331717902807308,-0.17352579504667698
0.4342944819032538,-1.4331717902807308,-0.20097752357365936
0.47772393009357916,-1.4331717902807308,-0.2377445081383451
0.5211533782839042,-1.4331717902807308,-0.2716136504558205
0.5645828264742292,-1.4331717902807308,-0.30920273056915126
0.6080122746645547,-1.4331717902807308,-0.3254306109185176
0.65144172285488,-1.4331717902807308,-0.33647620147669444
0.6948711710452051,-1.4331717902807308,-0.3559837968960807
0.7383006192355301,-1.4331717902807308,-0.3819605526737697
0.7817300674258556,-1.4331717902807308,-0.4021900470218034
0.825159515616181,-1.4331717902807308,-0.4081366194350503
0.868588963806506,-1.4331717902807308,-0.4173381709351337
0.912018411996831,-1.4331717902807308,-0.42232683061743836
0.9554478601871563,-1.4331717902807308,-0.4305130682294977
-1.7371779276130073,-1.3897423420904058,0.02450883479752766
-1.693748479422682,-1.3897423420904058,0.06093919329725286
-1.6503190312323568,-1.3897423420904058,0.10450136412331565
-1.6068895830420316,-1.3897423420904058,0.10131840914012462
-1.5634601348517065,-1.3897423420904058,0.14951675501972053
-1.5200306866613813,-1.3897423420904058,0.16693486072029892
-1.4766012384710558,-1.3897423420904058,0.1853397788893388
-1.4331717902807308,-1.3897423420904058,0.22854455770811444
-1.3897423420904056,-1.3897423420904058,0.2560022719016782
-1.3463128939000804,-1.3897423420904058,0.24924611438910896
-1.3028834457097551,-1.3897423420904058,0.2707870177592157
-1.2594539975194299,-1.3897423420904058,0.2774198832547149
-1.2160245493291046,-1.3897423420904058,0.3232111661517909
-1.1725951011387794,-1.3897423420904058,0.3318449980031384
-1.1291656529484542,-1.3897423420904058,0.3136712892875982
-1.085736204758129,-1.3897423420904058,0.3496389833865252
-1.0423067565678037,-1.3897423420904058,0.34862521084454406
-0.9988773083774786,-1.3897423420904058,0.36915226234330495
-0.9554478601871533,-1.3897423420904058,0.3823248133859607
-0.9120184119968281,-1.3897423420904058,0.38104361775761925
-0.868588963806503,-1.3897423420904058,0.38697833662920517
-0.8251595156161776,-1.3897423420904058,0.4028733099104779
-0.7817300674258525,-1.3897423420904058,0.3922755175841557
-0.7383006192355273,-1.3897423420904058,0.40870638039117213
-0.694871171045202,-1.3897423420904058,0.3811562842520041
-0.6514417228548768,-1.3897423420904058,0.38378478596040827
-0.6080122746645515,-1.3897423420904058,0.3795106440846746
-0.5645828264742263,-1.3897423420904058,0.3679561319050318
-0.5211533782839011,-1.3897423420904058,0.3563573882443658
-0.47772393009357594,-1.3897423420904058,0.35208188125401974
-0.4342944819032507,-1.3897423420904058,0.34675836132746785
-0.39086503371292547,-1.3897423420904058,0.3245448121614594
-0.34743558552260023,-1.3897423420904058,0.30388033833891775
-0.304006137332275,-1.3897423420904058,0.2781857175852058
-0.2605766891419498,-1.3897423420904058,0.27483832724990837
-0.21714724095162455,-1.3897423420904058,0.24578668225434083
-0.17371779276129934,-1.3897423420904058,0.23664170466367587
-0.13028834457097413,-1.3897423420904058,0.21591953941175182
-0.0868588963806489,-1.3897423420904058,0.1868172703052574
-0.04342944819032366,-1.3897423420904058,0.1607207052634394
1.5429239464852566e-15,-1.3897423420904058,0.13173509192613272
0.04342944819032661,-1.3897423420904058,0.09847337455232762
0.08685889638065195,-1.3897423420904058,0.06746613414333784
0.13028834457097743,-1.3897423420904058,0.033390187387046716
0.17371779276130242,-1.3897423420904058,0.004888703277971922
0.21714724095162746,-1.3897423420904058,-0.03602812396152402
0.26057668914195287,-1.3897423420904058,-0.06274562712154556
0.3040061373322783,-1.3897423420904058,-0.10394608869473082
0.34743558552260334,-1.3897423420904058,-0.14308189497030316
0.39086503371292836,-1.3897423420904058,-0.1782848122405292
0.4342944819032538,-1.3897423420904058,-0.20004773639989165
0.47772393009357916,-1.3897423420904058,-0.2333616793767684
0.5211533782839042,-1.3897423420904058,-0.28076846137341394
0.5645828264742292,-1.3897423420904058,-0.2809537112483573
0.6080122746645547,-1.3897423420904058,-0.346318984233456
0.65144172285488,-1.3897423420904058,-0.33177167638061517
0.6948711710452051,-1.3897423420904058,-0.3630480542912127
0.7383006192355301,-1.3897423420904058,-0.37457125670355573
0.7817300674258556,-1.3897423420904058,-0.38636247738714813
0.825159515616181,-1.3897423420904058,-0.39339879809096406
0.868588963806506,-1.3897423420904058,-0.413431331916973
0.912018411996831,-1.3897423420904058,-0.4146041118733082
0.9554478601871563,-1.3897423420904058,-0.4246079604871776
-1.7371779276130073,-1.3463128939000806,0.013857657157339305
-1.693748479422682,-1.3463128939000806,0.05498146500973576
-1.6503190312323568,-1.3463128939000806,0.05170631642457048
-1.6068895830420316,-1.3463128939000806,0.0816998582292474
-1.5634601348517065,-1.3463128939000806,0.11200411266275828
-1.5200306866613813,-1.3463128939000806,0.11593282542098239
-1.4766012384710558,-1.3463128939000806,0.1723022881257179
-1.4331717902807308,-1.3463128939000806,0.1961404669810726
-1.3897423420904056,-1.3463128939000806,0.2186611628080086
-1.3463128939000804,-1.3463128939000806,0.19603466667964223
-1.3028834457097551,-1.3463128939000806,0.23137803748357674
-1.2594539975194299,-1.3463128939000806,0.26722181756583196
-1.2160245493291046,-1.3463128939000806,0.28401497754109517
-1.1725951011387794,-1.3463128939000806,0.2876941908514645
-1.1291656529484542,-1.3463128939000806,0.3041744376096785
-1.085736204758129,-1.3463128939000806,0.30888077504239314
-1.0423067565678037,-1.3463128939000806,0.3526251575799106
-0.9988773083774786,-1.3463128939000806,0.3456859145230362
-0.9554478601871533,-1.3463128939000806,0.35644580567129047
-0.9120184119968281,-1.3463128939000806,0.3596976922931508
-0.868588963806503,-1.3463128939000806,0.3836515176851524
-0.8251595156161776,-1.3463128939000806,0.3630709894926684
-0.7817300674258525,-1.3463128939000806,0.37172605800984265
-0.7383006192355273,-1.3463128939000806,0.3752099779114816
-0.694871171045202,-1.3463128939000806,0.37786271635754726
-0.6514417228548768,-1.3463128939000806,0.35606562274361886
-0.6080122746645515,-1.3463128939000806,0.37776424601914316
-0.5645828264742263,-1.3463128939000806,0.3623322506185279
-0.5211533782839011,-1.3463128939000806,0.35971079115573645
-0.47772393009357594,-1.3463128939000806,0.34500038980226955
-0.4342944819032507,-1.3463128939000806,0.3326826609307183
-0.39086503371292547,-1.3463128939000806,0.31117821000008955
-0.34743558552260023,-1.3463128939000806,0.29583729879719617
-0.304006137332275,-1.3463128939000806,0.28578737359753736
-0.2605766891419498,-1.3463128939000806,0.2655744320189916
-0.21714724095162455,-1.3463128939000806,0.24278960504319563
-0.17371779276129934,-1.3463128939000806,0.22795582497241978
-0.13028834457097413,-1.3463128939000806,0.20068154328777835
